actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.055244,-0.309747,68.0,256.0,9.726016,2.087191,2.087191,0.0,68.0,,1.821782,0.12116,0.024976,10.0,0.249755,-0.559503,-0.559503,68.0,
,,69.0,256.0,,2.014258,2.014258,0.0,69.0,0.528577,,,,,,,,69.0,0.339844
0.053782,-0.139292,70.0,256.0,17.952621,2.494353,2.494353,0.0,70.0,,2.075205,0.125281,0.028711,10.0,0.287111,-0.426404,-0.426404,70.0,
,,71.0,256.0,,2.134672,2.134672,0.0,71.0,0.478884,,,,,,,,71.0,0.296875
0.042852,-0.194515,72.0,256.0,8.484188,2.181012,2.181012,0.0,72.0,,2.068172,0.122976,0.026947,10.0,0.269468,-0.463983,-0.463983,72.0,
,,73.0,256.0,,1.838771,1.838771,0.0,73.0,0.561042,,,,,,,,73.0,0.355469
0.044082,-0.135082,74.0,256.0,11.593881,2.055447,2.055447,0.0,74.0,,5.545246,0.130452,0.034533,10.0,0.345331,-0.480412,-0.480412,74.0,
,,75.0,256.0,,1.931023,1.931023,0.0,75.0,0.535315,,,,,,,,75.0,0.34375
0.043856,-0.165,76.0,256.0,29.716547,2.076062,2.076062,0.0,76.0,,1.771568,0.128215,0.027185,10.0,0.271854,-0.436854,-0.436854,76.0,
,,77.0,256.0,,2.220861,2.220861,0.0,77.0,0.505491,,,,,,,,77.0,0.285156
0.042826,-0.226927,78.0,256.0,14.166404,2.375404,2.375404,0.0,78.0,,1.612353,0.122407,0.023987,10.0,0.239867,-0.466794,-0.466794,78.0,
,,79.0,256.0,,2.002631,2.002631,0.0,79.0,0.526054,,,,,,,,79.0,0.3125
0.051254,-0.245325,80.0,256.0,9.591802,2.174804,2.174804,0.0,80.0,,1.824526,0.122804,0.025781,10.0,0.257812,-0.503137,-0.503137,80.0,
,,81.0,256.0,,2.032284,2.032284,0.0,81.0,0.525701,,,,,,,,81.0,0.332031
0.04178,-0.163667,82.0,256.0,6.616981,1.990942,1.990942,0.0,82.0,,1.626078,0.125961,0.027115,10.0,0.271151,-0.434818,-0.434818,82.0,
,,83.0,256.0,,2.013906,2.013906,0.0,83.0,0.461969,,,,,,,,83.0,0.253906
0.055508,-0.269225,84.0,256.0,5.888374,1.808297,1.808297,0.0,84.0,,1.658482,0.118259,0.022536,10.0,0.225357,-0.494582,-0.494582,84.0,
,,85.0,256.0,,2.117897,2.117897,0.0,85.0,0.473053,,,,,,,,85.0,0.28125
0.056896,-0.208029,86.0,256.0,7.577153,2.083173,2.083173,0.0,86.0,,1.430366,0.126618,0.027076,10.0,0.270762,-0.478791,-0.478791,86.0,
,,87.0,256.0,,2.044374,2.044374,0.0,87.0,0.520252,,,,,,,,87.0,0.3125
0.049282,-0.295183,88.0,256.0,22.274185,2.136375,2.136375,0.0,88.0,,1.88421,0.121263,0.02513,10.0,0.251297,-0.54648,-0.54648,88.0,
,,89.0,256.0,,2.347068,2.347068,0.0,89.0,0.495867,,,,,,,,89.0,0.261719
0.050204,-0.207412,90.0,256.0,12.946651,2.239997,2.239997,0.0,90.0,,1.999636,0.124599,0.026624,10.0,0.266242,-0.473653,-0.473653,90.0,
,,91.0,256.0,,2.015902,2.015902,0.0,91.0,0.531106,,,,,,,,91.0,0.316406
0.066721,-0.158628,92.0,256.0,8.264231,2.299265,2.299265,0.0,92.0,,1.690678,0.125688,0.026315,10.0,0.263151,-0.421779,-0.421779,92.0,
,,93.0,256.0,,2.1134,2.1134,0.0,93.0,0.491027,,,,,,,,93.0,0.300781
0.045918,-0.297181,94.0,256.0,34.421833,1.915341,1.915341,0.0,94.0,,1.558437,0.119307,0.022508,10.0,0.225081,-0.522262,-0.522262,94.0,
,,95.0,256.0,,2.224995,2.224995,0.0,95.0,0.584693,,,,,,,,95.0,0.339844
0.041536,-0.203542,96.0,256.0,16.740501,1.96219,1.96219,0.0,96.0,,3.12399,0.123365,0.02684,10.0,0.268403,-0.471945,-0.471945,96.0,
,,97.0,256.0,,1.947607,1.947607,0.0,97.0,0.538044,,,,,,,,97.0,0.347656
0.054579,-0.226931,98.0,256.0,21.595816,1.85421,1.85421,0.0,98.0,,1.731313,0.125027,0.025794,10.0,0.25794,-0.484872,-0.484872,98.0,
,,99.0,256.0,,1.984396,1.984396,0.0,99.0,0.505199,,,,,,,,99.0,0.300781
0.041882,-0.232839,100.0,256.0,18.95723,2.280549,2.280549,0.0,100.0,,1.66856,0.124412,0.027034,10.0,0.270336,-0.503175,-0.503175,100.0,
,,101.0,256.0,,1.962427,1.962427,0.0,101.0,0.513989,,,,,,,,101.0,0.316406
0.049368,-0.358186,102.0,256.0,13.403534,1.905843,1.905843,0.0,102.0,,1.595539,0.111213,0.017493,10.0,0.174931,-0.533117,-0.533117,102.0,
,,103.0,256.0,,1.868506,1.868506,0.0,103.0,0.551399,,,,,,,,103.0,0.335938
0.047962,-0.296921,104.0,256.0,29.055889,1.965357,1.965357,0.0,104.0,,1.823898,0.121777,0.025356,10.0,0.25356,-0.550481,-0.550481,104.0,
,,105.0,256.0,,2.275708,2.275708,0.0,105.0,0.467028,,,,,,,,105.0,0.230469
0.041277,-0.261228,106.0,256.0,25.896646,2.29695,2.29695,0.0,106.0,,1.758319,0.118645,0.021804,10.0,0.21804,-0.479269,-0.479269,106.0,
,,107.0,256.0,,1.824694,1.824694,0.0,107.0,0.484587,,,,,,,,107.0,0.316406
0.086235,-0.274569,108.0,256.0,30.335741,2.231966,2.231966,0.0,108.0,,1.877096,0.116874,0.021044,10.0,0.210442,-0.485011,-0.485011,108.0,
,,109.0,256.0,,2.350552,2.350552,0.0,109.0,0.515961,,,,,,,,109.0,0.292969
0.043943,-0.253025,110.0,256.0,30.9778,2.274631,2.274631,0.0,110.0,,1.863709,0.127636,0.027014,10.0,0.270141,-0.523166,-0.523166,110.0,
,,111.0,256.0,,2.357151,2.357151,0.0,111.0,0.532736,,,,,,,,111.0,0.296875
0.154784,-0.20971,112.0,256.0,36.763706,2.327677,2.327677,0.0,112.0,,2.085236,0.123162,0.026014,10.0,0.260137,-0.469847,-0.469847,112.0,
,,113.0,256.0,,2.320822,2.320822,0.0,113.0,0.510479,,,,,,,,113.0,0.316406
0.055434,-0.229356,114.0,256.0,7.976561,2.252556,2.252556,0.0,114.0,,4.299142,0.118911,0.025852,10.0,0.258516,-0.487872,-0.487872,114.0,
,,115.0,256.0,,2.322767,2.322767,0.0,115.0,0.524119,,,,,,,,115.0,0.285156
0.045402,-0.286045,116.0,256.0,14.262586,1.873,1.873,0.0,116.0,,1.551319,0.121923,0.023764,10.0,0.237636,-0.523681,-0.523681,116.0,
,,117.0,256.0,,2.218001,2.218001,0.0,117.0,0.544656,,,,,,,,117.0,0.320312
0.061536,-0.324816,118.0,256.0,13.72681,2.007101,2.007101,0.0,118.0,,1.600735,0.121632,0.023064,10.0,0.230641,-0.555456,-0.555456,118.0,
,,119.0,256.0,,2.052814,2.052814,0.0,119.0,0.464216,,,,,,,,119.0,0.316406
0.043557,-0.315323,120.0,256.0,15.304645,2.20947,2.20947,0.0,120.0,,1.684147,0.123068,0.023994,10.0,0.23994,-0.555263,-0.555263,120.0,
,,121.0,256.0,,2.323367,2.323367,0.0,121.0,0.526469,,,,,,,,121.0,0.3125
0.044843,-0.359816,122.0,256.0,16.258175,2.103409,2.103409,0.0,122.0,,1.706655,0.114398,0.018842,10.0,0.188415,-0.548231,-0.548231,122.0,
,,123.0,256.0,,1.864529,1.864529,0.0,123.0,0.560646,,,,,,,,123.0,0.339844
0.048013,-0.205486,124.0,256.0,11.804317,2.209647,2.209647,0.0,124.0,,1.655694,0.125584,0.02719,10.0,0.271901,-0.477387,-0.477387,124.0,
,,125.0,256.0,,2.176508,2.176508,0.0,125.0,0.509,,,,,,,,125.0,0.289062
0.038917,-0.242994,126.0,256.0,14.957247,1.721162,1.721162,0.0,126.0,,3.89422,0.128413,0.030498,10.0,0.304982,-0.547977,-0.547977,126.0,
,,127.0,256.0,,1.958315,1.958315,0.0,127.0,0.521299,,,,,,,,127.0,0.320312
0.048347,-0.403504,128.0,256.0,10.616956,1.848357,1.848357,0.0,128.0,,1.807938,0.103112,0.012526,10.0,0.125262,-0.528765,-0.528765,128.0,
