actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.048788,-0.333463,68.0,256.0,15.591713,1.886501,1.886501,0.0,68.0,,1.788889,0.111105,0.018959,10.0,0.18959,-0.523053,-0.523053,68.0,
,,69.0,256.0,,1.907921,1.907921,0.0,69.0,0.554602,,,,,,,,69.0,0.339844
0.033799,-0.256892,70.0,256.0,17.930653,2.093797,2.093797,0.0,70.0,,2.660052,0.121836,0.025156,10.0,0.251558,-0.50845,-0.50845,70.0,
,,71.0,256.0,,2.102758,2.102758,0.0,71.0,0.566023,,,,,,,,71.0,0.3125
0.042094,-0.154099,72.0,256.0,17.410254,2.060086,2.060086,0.0,72.0,,4.602425,0.129459,0.03107,10.0,0.310697,-0.464796,-0.464796,72.0,
,,73.0,256.0,,2.009198,2.009198,0.0,73.0,0.511562,,,,,,,,73.0,0.300781
0.035775,-0.265031,74.0,256.0,25.499237,2.093794,2.093794,0.0,74.0,,1.752311,0.11622,0.021299,10.0,0.212986,-0.478016,-0.478016,74.0,
,,75.0,256.0,,2.066836,2.066836,0.0,75.0,0.518144,,,,,,,,75.0,0.285156
0.042744,-0.01742,76.0,256.0,29.60936,2.136058,2.136058,0.0,76.0,,5.699102,0.131467,0.040198,10.0,0.401978,-0.419399,-0.419399,76.0,
,,77.0,256.0,,2.223177,2.223177,0.0,77.0,0.532891,,,,,,,,77.0,0.292969
0.044195,-0.284699,78.0,256.0,30.241226,2.256366,2.256366,0.0,78.0,,3.250733,0.116903,0.023197,10.0,0.231975,-0.516674,-0.516674,78.0,
,,79.0,256.0,,2.130711,2.130711,0.0,79.0,0.553969,,,,,,,,79.0,0.328125
0.042336,-0.256,80.0,256.0,15.712377,2.178301,2.178301,0.0,80.0,,1.729711,0.12208,0.02476,10.0,0.247602,-0.503602,-0.503602,80.0,
,,81.0,256.0,,1.913204,1.913204,0.0,81.0,0.535394,,,,,,,,81.0,0.308594
0.052696,-0.313224,82.0,256.0,14.910988,1.868223,1.868223,0.0,82.0,,4.011704,0.116529,0.025108,10.0,0.251081,-0.564305,-0.564305,82.0,
,,83.0,256.0,,1.948138,1.948138,0.0,83.0,0.502809,,,,,,,,83.0,0.300781
0.03675,-0.160878,84.0,256.0,27.560781,2.086048,2.086048,0.0,84.0,,5.702556,0.127685,0.033469,10.0,0.334693,-0.495572,-0.495572,84.0,
,,85.0,256.0,,2.394772,2.394772,0.0,85.0,0.485602,,,,,,,,85.0,0.246094
0.03345,-0.123299,86.0,256.0,17.003262,1.928898,1.928898,0.0,86.0,,2.020918,0.132039,0.034787,10.0,0.347867,-0.471167,-0.471167,86.0,
,,87.0,256.0,,2.144803,2.144803,0.0,87.0,0.467795,,,,,,,,87.0,0.230469
0.047678,-0.192525,88.0,256.0,15.211205,2.130639,2.130639,0.0,88.0,,2.794887,0.125952,0.031653,10.0,0.316528,-0.509053,-0.509053,88.0,
,,89.0,256.0,,2.106755,2.106755,0.0,89.0,0.459619,,,,,,,,89.0,0.28125
0.037195,-0.304631,90.0,256.0,11.115746,1.776431,1.776431,0.0,90.0,,2.275644,0.114952,0.023626,10.0,0.236257,-0.540888,-0.540888,90.0,
,,91.0,256.0,,2.334221,2.334221,0.0,91.0,0.523843,,,,,,,,91.0,0.285156
0.041186,-0.322628,92.0,256.0,30.031639,2.092819,2.092819,0.0,92.0,,1.607817,0.11488,0.019454,10.0,0.194536,-0.517164,-0.517164,92.0,
,,93.0,256.0,,1.953132,1.953132,0.0,93.0,0.541164,,,,,,,,93.0,0.332031
0.043689,-0.303308,94.0,256.0,33.635868,2.226146,2.226146,0.0,94.0,,1.689798,0.117461,0.022047,10.0,0.220474,-0.523782,-0.523782,94.0,
,,95.0,256.0,,1.967846,1.967846,0.0,95.0,0.56094,,,,,,,,95.0,0.324219
0.038695,-0.325677,96.0,256.0,18.803583,2.336385,2.336385,0.0,96.0,,1.773806,0.11718,0.02219,10.0,0.221904,-0.547581,-0.547581,96.0,
,,97.0,256.0,,1.998413,1.998413,0.0,97.0,0.518804,,,,,,,,97.0,0.300781
0.042829,-0.266827,98.0,256.0,11.313604,1.971364,1.971364,0.0,98.0,,1.556661,0.116549,0.022208,10.0,0.222085,-0.488912,-0.488912,98.0,
,,99.0,256.0,,1.934268,1.934268,0.0,99.0,0.50762,,,,,,,,99.0,0.3125
0.035471,-0.315061,100.0,256.0,12.804467,2.189312,2.189312,0.0,100.0,,2.534153,0.114959,0.022636,10.0,0.226358,-0.541419,-0.541419,100.0,
,,101.0,256.0,,1.994133,1.994133,0.0,101.0,0.546173,,,,,,,,101.0,0.324219
0.038712,-0.277243,102.0,256.0,12.133161,2.282917,2.282917,0.0,102.0,,1.589788,0.111444,0.019923,10.0,0.199226,-0.47647,-0.47647,102.0,
,,103.0,256.0,,2.144906,2.144906,0.0,103.0,0.525604,,,,,,,,103.0,0.289062
0.045576,-0.25848,104.0,256.0,10.319679,1.88414,1.88414,0.0,104.0,,1.579572,0.118654,0.0241,10.0,0.240998,-0.499478,-0.499478,104.0,
,,105.0,256.0,,2.118972,2.118972,0.0,105.0,0.522581,,,,,,,,105.0,0.289062
0.035312,-0.310675,106.0,256.0,11.665903,1.751697,1.751697,0.0,106.0,,2.538481,0.114663,0.02047,10.0,0.204696,-0.515372,-0.515372,106.0,
,,107.0,256.0,,1.984429,1.984429,0.0,107.0,0.509688,,,,,,,,107.0,0.332031
0.039764,-0.327214,108.0,256.0,18.877853,2.281567,2.281567,0.0,108.0,,1.296305,0.112572,0.017775,10.0,0.177745,-0.50496,-0.50496,108.0,
,,109.0,256.0,,1.988583,1.988583,0.0,109.0,0.487372,,,,,,,,109.0,0.273438
0.042782,-0.218281,110.0,256.0,19.150795,2.201519,2.201519,0.0,110.0,,4.198933,0.120105,0.026389,10.0,0.263889,-0.482169,-0.482169,110.0,
,,111.0,256.0,,2.014603,2.014603,0.0,111.0,0.514519,,,,,,,,111.0,0.296875
0.03879,-0.201963,112.0,256.0,15.99133,1.922764,1.922764,0.0,112.0,,1.507607,0.123242,0.027688,10.0,0.27688,-0.478843,-0.478843,112.0,
,,113.0,256.0,,1.935215,1.935215,0.0,113.0,0.525033,,,,,,,,113.0,0.308594
0.037597,-0.210802,114.0,256.0,23.423573,2.035764,2.035764,0.0,114.0,,1.523732,0.127098,0.029413,10.0,0.294128,-0.50493,-0.50493,114.0,
,,115.0,256.0,,1.799212,1.799212,0.0,115.0,0.501196,,,,,,,,115.0,0.285156
0.059356,-0.247698,116.0,256.0,18.653521,2.072148,2.072148,0.0,116.0,,1.720941,0.119801,0.024959,10.0,0.249591,-0.497289,-0.497289,116.0,
,,117.0,256.0,,1.986886,1.986886,0.0,117.0,0.531994,,,,,,,,117.0,0.3125
0.03864,-0.158555,118.0,256.0,15.400642,2.384853,2.384853,0.0,118.0,,1.707106,0.127524,0.029538,10.0,0.295379,-0.453934,-0.453934,118.0,
,,119.0,256.0,,1.961125,1.961125,0.0,119.0,0.500041,,,,,,,,119.0,0.273438
0.078435,-0.192309,120.0,256.0,14.283994,2.221705,2.221705,0.0,120.0,,1.754912,0.122382,0.028049,10.0,0.280487,-0.472796,-0.472796,120.0,
,,121.0,256.0,,2.101437,2.101437,0.0,121.0,0.504913,,,,,,,,121.0,0.273438
0.036518,-0.32508,122.0,256.0,21.181667,2.208842,2.208842,0.0,122.0,,1.725117,0.111322,0.019888,10.0,0.198879,-0.523959,-0.523959,122.0,
,,123.0,256.0,,2.020819,2.020819,0.0,123.0,0.490188,,,,,,,,123.0,0.304688
